Designator,Mid X,Mid Y,Rotation,Layer
J1,105.61,-80.9,0.0,top
J14,142.695,-80.95,0.0,top
J16,122.38,-80.95,0.0,top
J2,159.87,-80.9,0.0,top
J3,94.88,-80.9,0.0,top
J4,170.655,-80.9,0.0,top
